Model,Dataset,Label,ε,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,mcc,false_positive_rate,detection_rate,Train Time (s)
DP-LR,cic_ids2018,binary,0.01,0.6456,0.5865,0.6588,0.585,0.5988,0.6564,0.1834,0.3,0.4977,1.0
DP-SGD,cic_ids2018,binary,0.01,0.412,0.4049,0.3748,0.6293,0.5882,0.8759,0.2136,0.793,0.9694,217.7
DP-LR,cic_ids2018,binary,0.05,0.7831,0.7342,0.7869,0.7272,0.7438,0.8155,0.4708,0.1711,0.6588,2.0
DP-SGD,cic_ids2018,binary,0.05,0.9411,0.9259,0.9414,0.9213,0.9308,0.9601,0.852,0.047,0.9086,214.5
DP-LR,cic_ids2018,binary,0.1,0.8276,0.7898,0.831,0.7801,0.8031,0.8593,0.5828,0.1438,0.75,2.2
DP-SGD,cic_ids2018,binary,0.1,0.9442,0.93,0.9446,0.9246,0.9359,0.966,0.8604,0.046,0.9178,212.2
DP-LR,cic_ids2018,binary,0.2,0.8929,0.8654,0.8935,0.8611,0.8701,0.8965,0.7311,0.0807,0.8208,3.3
DP-SGD,cic_ids2018,binary,0.2,0.9486,0.9352,0.9488,0.9314,0.9391,0.9705,0.8706,0.0404,0.9187,199.5
DP-LR,cic_ids2018,binary,0.5,0.9294,0.9108,0.9296,0.9083,0.9133,0.9259,0.8216,0.052,0.8786,4.1
DP-SGD,cic_ids2018,binary,0.5,0.9544,0.9421,0.9545,0.9418,0.9424,0.9747,0.8842,0.0316,0.9165,196.6
DP-LR,cic_ids2018,binary,0.75,0.9379,0.921,0.9379,0.9209,0.9211,0.9321,0.8421,0.0427,0.8849,4.7
DP-SGD,cic_ids2018,binary,0.75,0.9569,0.945,0.9568,0.9463,0.9436,0.9759,0.89,0.0277,0.915,201.3
DP-LR,cic_ids2018,binary,1.0,0.9426,0.9271,0.9426,0.9267,0.9275,0.9362,0.8541,0.0398,0.8947,6.3
DP-SGD,cic_ids2018,binary,1.0,0.9586,0.947,0.9585,0.9495,0.9447,0.976,0.8941,0.0252,0.9145,200.0
DP-LR,cic_ids2018,binary,1.5,0.947,0.9326,0.947,0.933,0.9321,0.9414,0.8651,0.0356,0.8998,7.7
DP-SGD,cic_ids2018,binary,1.5,0.9597,0.9483,0.9595,0.9516,0.9452,0.9766,0.8968,0.0235,0.9138,203.6
DP-LR,cic_ids2018,binary,2.0,0.9476,0.9332,0.9475,0.9337,0.9328,0.9446,0.8665,0.0353,0.9008,8.2
DP-SGD,cic_ids2018,binary,2.0,0.96,0.9487,0.9598,0.9524,0.9452,0.9772,0.8976,0.0228,0.9133,221.6
DP-LR,cic_ids2018,binary,3.0,0.9464,0.932,0.9465,0.9314,0.9325,0.9474,0.8639,0.0374,0.9024,8.2
DP-SGD,cic_ids2018,binary,3.0,0.9628,0.9522,0.9626,0.9575,0.9473,0.9778,0.9047,0.019,0.9136,203.8
DP-LR,cic_ids2018,binary,5.0,0.9404,0.9249,0.9406,0.9209,0.9292,0.9422,0.85,0.0466,0.905,8.4
DP-SGD,cic_ids2018,binary,5.0,0.9648,0.9546,0.9646,0.9614,0.9483,0.9787,0.9097,0.016,0.9127,228.0
DP-LR,cic_ids2018,binary,7.0,0.9453,0.9305,0.9453,0.9302,0.9307,0.9475,0.8609,0.0378,0.8992,7.0
DP-SGD,cic_ids2018,binary,7.0,0.9651,0.955,0.9649,0.962,0.9486,0.9789,0.9105,0.0156,0.9129,209.8
DP-LR,cic_ids2018,binary,10.0,0.9458,0.931,0.9458,0.9319,0.93,0.9518,0.8619,0.0358,0.8958,7.6
DP-SGD,cic_ids2018,binary,10.0,0.9663,0.9564,0.966,0.9642,0.9494,0.9793,0.9134,0.014,0.9127,203.3
Logistic Regression,cic_ids2018,binary,,0.9332,0.9174,0.9341,0.907,0.9297,0.957,0.8364,0.0628,0.9223,158.9
Random Forest,cic_ids2018,binary,,0.9688,0.9597,0.9686,0.9686,0.9516,0.9862,0.92,0.0111,0.9142,6.0
XGBoost,cic_ids2018,binary,,0.9717,0.9632,0.9714,0.9745,0.9532,0.9892,0.9275,0.0068,0.9132,1.7
