Model,Dataset,Label,ε,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,mcc,false_positive_rate,detection_rate,Train Time (s)
DP-LR,cic_ids2018,multiclass,0.01,0.1111,0.0525,0.1501,0.1401,0.0815,0.4877,-0.0336,,,2.2
DP-SGD,cic_ids2018,multiclass,0.01,0.0006,0.0039,0.0008,0.0127,0.1451,0.6336,-0.0141,,,215.1
DP-LR,cic_ids2018,multiclass,0.05,0.2039,0.0806,0.2966,0.1463,0.0721,0.5355,-0.0089,,,3.2
DP-SGD,cic_ids2018,multiclass,0.05,0.118,0.3606,0.093,0.3466,0.6665,0.8351,0.1824,,,218.8
DP-LR,cic_ids2018,multiclass,0.1,0.2538,0.0809,0.3636,0.1365,0.0629,0.5716,0.0074,,,4.6
DP-SGD,cic_ids2018,multiclass,0.1,0.2383,0.5191,0.1978,0.4827,0.7993,0.8607,0.3753,,,176.1
DP-LR,cic_ids2018,multiclass,0.2,0.455,0.1474,0.5317,0.1735,0.141,0.622,0.1356,,,6.3
DP-SGD,cic_ids2018,multiclass,0.2,0.3544,0.5745,0.4002,0.6505,0.8309,0.8966,0.4331,,,208.1
DP-LR,cic_ids2018,multiclass,0.5,0.6723,0.2964,0.6951,0.2763,0.3531,0.7204,0.3841,,,8.7
DP-SGD,cic_ids2018,multiclass,0.5,0.3787,0.5932,0.4315,0.6687,0.8472,0.9287,0.4699,,,178.5
DP-LR,cic_ids2018,multiclass,0.75,0.7371,0.3304,0.7454,0.3138,0.372,0.7507,0.4576,,,11.6
DP-SGD,cic_ids2018,multiclass,0.75,0.3945,0.5992,0.4549,0.6711,0.8517,0.936,0.4778,,,206.2
DP-LR,cic_ids2018,multiclass,1.0,0.811,0.5072,0.8156,0.5064,0.5297,0.7638,0.5894,,,12.4
DP-SGD,cic_ids2018,multiclass,1.0,0.399,0.6046,0.4607,0.6785,0.8539,0.9395,0.4816,,,179.4
DP-LR,cic_ids2018,multiclass,1.5,0.8668,0.5984,0.8648,0.5848,0.6417,0.7801,0.7046,,,14.2
DP-SGD,cic_ids2018,multiclass,1.5,0.3997,0.603,0.461,0.6753,0.8543,0.9433,0.4819,,,208.9
DP-LR,cic_ids2018,multiclass,2.0,0.8971,0.6306,0.8932,0.6261,0.6677,0.7898,0.7702,,,15.9
DP-SGD,cic_ids2018,multiclass,2.0,0.3998,0.6047,0.4616,0.6782,0.8545,0.9449,0.4826,,,188.3
DP-LR,cic_ids2018,multiclass,3.0,0.9134,0.6492,0.9064,0.6508,0.6768,0.8044,0.8026,,,17.9
DP-SGD,cic_ids2018,multiclass,3.0,0.4014,0.6045,0.4636,0.677,0.8552,0.9465,0.4831,,,207.3
DP-LR,cic_ids2018,multiclass,5.0,0.9342,0.6778,0.9267,0.6904,0.6979,0.8177,0.8499,,,20.1
DP-SGD,cic_ids2018,multiclass,5.0,0.4052,0.6037,0.4679,0.6737,0.8563,0.9486,0.4845,,,166.3
DP-LR,cic_ids2018,multiclass,7.0,0.9387,0.6922,0.9318,0.7076,0.7042,0.8222,0.8598,,,23.0
DP-SGD,cic_ids2018,multiclass,7.0,0.4236,0.6083,0.4926,0.6726,0.8602,0.9497,0.4896,,,216.2
DP-LR,cic_ids2018,multiclass,10.0,0.9444,0.6991,0.9367,0.7194,0.7079,0.826,0.8721,,,24.4
DP-SGD,cic_ids2018,multiclass,10.0,0.4333,0.6082,0.5042,0.6679,0.8627,0.9508,0.4926,,,161.7
Logistic Regression,cic_ids2018,multiclass,,0.6333,0.6665,0.729,0.6906,0.8779,0.9558,0.5683,,,470.5
Random Forest,cic_ids2018,multiclass,,0.7949,0.7358,0.8572,0.7343,0.9067,0.975,0.6997,,,6.6
XGBoost,cic_ids2018,multiclass,,0.9713,0.8415,0.9645,0.9199,0.8081,0.9861,0.9336,,,4.9
