Model,ε,F1 macro,ROC-AUC (IDS),FPR,Detection Rate,Attack ROC-AUC,Attack Advantage
DP-LR,0.01,0.5865,0.6564,0.3,0.4977,0.5006,0.0006
DP-LR,0.05,0.7342,0.8155,0.1711,0.6588,0.511,0.011
DP-LR,0.1,0.7898,0.8593,0.1438,0.75,0.5083,0.0083
DP-LR,0.2,0.8654,0.8965,0.0807,0.8208,0.519,0.019
DP-LR,0.5,0.9108,0.9259,0.052,0.8786,0.4987,-0.0013
DP-LR,0.75,0.921,0.9321,0.0427,0.8849,0.5122,0.0122
DP-LR,1.0,0.9271,0.9362,0.0398,0.8947,0.5008,0.0008
DP-LR,1.5,0.9326,0.9414,0.0356,0.8998,0.5097,0.0097
DP-LR,2.0,0.9332,0.9446,0.0353,0.9008,0.5137,0.0137
DP-LR,3.0,0.932,0.9474,0.0374,0.9024,0.5021,0.0021
DP-LR,5.0,0.9249,0.9422,0.0466,0.905,0.5065,0.0065
DP-LR,7.0,0.9305,0.9475,0.0378,0.8992,0.4994,-0.0006
DP-LR,10.0,0.931,0.9518,0.0358,0.8958,0.5119,0.0119
DP-SGD,0.01,0.4354,0.9176,0.7525,0.9587,0.5105,0.0105
DP-SGD,0.05,0.9256,0.9572,0.0473,0.9085,0.5006,0.0006
DP-SGD,0.1,0.932,0.9618,0.0409,0.9111,0.5009,0.0009
DP-SGD,0.2,0.935,0.9682,0.04,0.9172,0.4949,-0.0051
DP-SGD,0.5,0.9449,0.9747,0.0282,0.9158,0.5142,0.0142
DP-SGD,0.75,0.9463,0.9759,0.0263,0.9151,0.511,0.011
DP-SGD,1.0,0.9365,0.9729,0.0365,0.9128,0.5049,0.0049
DP-SGD,1.5,0.9483,0.9774,0.0236,0.9139,0.5076,0.0076
DP-SGD,2.0,0.949,0.978,0.0226,0.9133,0.5054,0.0054
DP-SGD,3.0,0.9488,0.9782,0.0228,0.9134,0.5065,0.0065
DP-SGD,5.0,0.9496,0.9788,0.0218,0.9132,0.5032,0.0032
DP-SGD,7.0,0.9511,0.9791,0.0201,0.9131,0.5012,0.0012
DP-SGD,10.0,0.9544,0.9792,0.0163,0.9128,0.5019,0.0019
Logistic Regression,,0.9174,,0.0628,0.9223,0.4957,-0.0043
Random Forest,,0.9597,0.9862,0.0111,0.9142,0.5048,0.0048
XGBoost,,0.9632,0.9892,0.0068,0.9132,0.5157,0.0157
