Model,ε,F1 macro,ROC-AUC (IDS),FPR,Detection Rate,Attack ROC-AUC,Attack Advantage
DP-LR,0.01,0.0525,0.4877,,,0.508,0.008
DP-LR,0.05,0.0806,0.5355,,,0.5098,0.0098
DP-LR,0.1,0.0809,0.5716,,,0.5112,0.0112
DP-LR,0.2,0.1474,0.622,,,0.508,0.008
DP-LR,0.5,0.2964,0.7204,,,0.4979,-0.0021
DP-LR,0.75,0.3304,0.7507,,,0.4966,-0.0034
DP-LR,1.0,0.5072,0.7638,,,0.5,0.0
DP-LR,1.5,0.5984,0.7801,,,0.4998,-0.0002
DP-LR,2.0,0.6306,0.7898,,,0.5021,0.0021
DP-LR,3.0,0.6493,0.8044,,,0.5078,0.0078
DP-LR,5.0,0.673,0.8177,,,0.5098,0.0098
DP-LR,7.0,0.6922,0.8222,,,0.5116,0.0116
DP-LR,10.0,0.6991,0.8261,,,0.5191,0.0191
DP-SGD,0.01,0.0958,0.7194,,,0.5096,0.0096
DP-SGD,0.05,0.4059,0.83,,,0.5032,0.0032
DP-SGD,0.1,0.4803,0.8657,,,0.5106,0.0106
DP-SGD,0.2,0.5,0.9089,,,0.5121,0.0121
DP-SGD,0.5,0.5419,0.9324,,,0.5094,0.0094
DP-SGD,0.75,0.5748,0.937,,,0.5031,0.0031
DP-SGD,1.0,0.5911,0.9398,,,0.5058,0.0058
DP-SGD,1.5,0.5997,0.9416,,,0.5152,0.0152
DP-SGD,2.0,0.6026,0.9429,,,0.5177,0.0177
DP-SGD,3.0,0.6077,0.9451,,,0.5192,0.0192
DP-SGD,5.0,0.6125,0.9464,,,0.52,0.02
DP-SGD,7.0,0.6253,0.9476,,,0.5212,0.0212
DP-SGD,10.0,0.6296,0.9488,,,0.523,0.023
Logistic Regression,,0.6665,,,,0.5073,0.0073
Random Forest,,0.7358,0.975,,,0.5183,0.0183
XGBoost,,0.8415,0.9861,,,0.5311,0.0311
