Model,ε,n_members,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_roc_auc,attack_advantage,tpr_at_fpr_0_01,tpr_at_fpr_0_10,target_accuracy,target_f1_macro,target_roc_auc,target_false_positive_rate,target_detection_rate
DP-LR,0.01,5000,0.497,0.4965,0.422,0.4562,0.5006,0.0006,0.0047,0.0293,0.6456,0.5865,0.6564,0.3,0.4977
DP-LR,0.05,5000,0.51,0.5135,0.3807,0.4372,0.511,0.011,0.0067,0.104,0.7831,0.7342,0.8155,0.1711,0.6588
DP-LR,0.1,5000,0.5073,0.5138,0.274,0.3574,0.5083,0.0083,0.01,0.1133,0.8276,0.7898,0.8593,0.1438,0.75
DP-LR,0.2,5000,0.51,0.5152,0.3393,0.4092,0.519,0.019,0.01,0.1287,0.8929,0.8654,0.8965,0.0807,0.8208
DP-LR,0.5,5000,0.5033,0.5086,0.1973,0.2843,0.4987,-0.0013,0.0107,0.102,0.9294,0.9108,0.9259,0.052,0.8786
DP-LR,0.75,5000,0.5087,0.5169,0.2653,0.3507,0.5122,0.0122,0.0193,0.1,0.9379,0.921,0.9321,0.0427,0.8849
DP-LR,1.0,5000,0.5067,0.5173,0.1993,0.2878,0.5008,0.0008,0.0253,0.106,0.9426,0.9271,0.9362,0.0398,0.8947
DP-LR,1.5,5000,0.503,0.5021,0.7073,0.5873,0.5097,0.0097,0.0193,0.106,0.947,0.9326,0.9414,0.0356,0.8998
DP-LR,2.0,5000,0.5133,0.5136,0.504,0.5087,0.5137,0.0137,0.0133,0.0973,0.9476,0.9332,0.9446,0.0353,0.9008
DP-LR,3.0,5000,0.494,0.4949,0.5793,0.5338,0.5021,0.0021,0.0127,0.0973,0.9464,0.932,0.9474,0.0374,0.9024
DP-LR,5.0,5000,0.5043,0.5029,0.7513,0.6025,0.5065,0.0065,0.012,0.038,0.9404,0.9249,0.9422,0.0466,0.905
DP-LR,7.0,5000,0.4957,0.4962,0.562,0.527,0.4994,-0.0006,0.0153,0.0973,0.9453,0.9305,0.9475,0.0378,0.8992
DP-LR,10.0,5000,0.5097,0.5106,0.4667,0.4876,0.5119,0.0119,0.0147,0.124,0.9458,0.931,0.9518,0.0358,0.8958
DP-SGD,0.01,5000,0.5013,0.5011,0.612,0.551,0.5105,0.0105,0.016,0.098,0.4387,0.4354,0.9176,0.7525,0.9587
DP-SGD,0.05,5000,0.5033,0.5034,0.4933,0.4983,0.5006,0.0006,0.008,0.0853,0.9408,0.9256,0.9572,0.0473,0.9085
DP-SGD,0.1,5000,0.4983,0.4981,0.426,0.4592,0.5009,0.0009,0.0107,0.0913,0.9462,0.932,0.9618,0.0409,0.9111
DP-SGD,0.2,5000,0.501,0.5018,0.2827,0.3616,0.4949,-0.0051,0.0093,0.0853,0.9485,0.935,0.9682,0.04,0.9172
DP-SGD,0.5,5000,0.5167,0.5235,0.3707,0.434,0.5142,0.0142,0.0107,0.1033,0.9567,0.9449,0.9747,0.0282,0.9158
DP-SGD,0.75,5000,0.51,0.5162,0.318,0.3936,0.511,0.011,0.0067,0.11,0.958,0.9463,0.9759,0.0263,0.9151
DP-SGD,1.0,5000,0.5013,0.5014,0.4633,0.4816,0.5049,0.0049,0.0093,0.1,0.9499,0.9365,0.9729,0.0365,0.9128
DP-SGD,1.5,5000,0.5067,0.5116,0.2933,0.3729,0.5076,0.0076,0.0067,0.1073,0.9596,0.9483,0.9774,0.0236,0.9139
DP-SGD,2.0,5000,0.5063,0.5117,0.2773,0.3597,0.5054,0.0054,0.0107,0.0967,0.9602,0.949,0.978,0.0226,0.9133
DP-SGD,3.0,5000,0.5073,0.5136,0.2767,0.3596,0.5065,0.0065,0.0113,0.0947,0.96,0.9488,0.9782,0.0228,0.9134
DP-SGD,5.0,5000,0.5057,0.5103,0.2807,0.3622,0.5032,0.0032,0.006,0.0973,0.9607,0.9496,0.9788,0.0218,0.9132
DP-SGD,7.0,5000,0.5047,0.5085,0.2787,0.36,0.5012,0.0012,0.006,0.0987,0.962,0.9511,0.9791,0.0201,0.9131
DP-SGD,10.0,5000,0.5033,0.5029,0.5687,0.5338,0.5019,0.0019,0.006,0.0973,0.9647,0.9544,0.9792,0.0163,0.9128
Logistic Regression,,5000,0.4957,0.4709,0.07,0.1219,0.4957,-0.0043,0.0,0.07,0.9332,0.9174,,0.0628,0.9223
Random Forest,,5000,0.5057,0.5101,0.286,0.3665,0.5048,0.0048,0.01,0.0693,0.9688,0.9597,0.9862,0.0111,0.9142
XGBoost,,5000,0.508,0.5121,0.338,0.4072,0.5157,0.0157,0.018,0.096,0.9717,0.9632,0.9892,0.0068,0.9132
