Model,ε,n_members,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_roc_auc,attack_advantage,tpr_at_fpr_0_01,tpr_at_fpr_0_10,target_accuracy,target_f1_macro,target_roc_auc,target_false_positive_rate,target_detection_rate
DP-LR,0.01,5000,0.5033,0.5032,0.522,0.5124,0.508,0.008,0.0073,0.1,0.1111,0.0525,0.4877,,
DP-LR,0.05,5000,0.5173,0.5169,0.5287,0.5227,0.5098,0.0098,0.0027,0.0933,0.2039,0.0806,0.5355,,
DP-LR,0.1,5000,0.505,0.505,0.5027,0.5038,0.5112,0.0112,0.0053,0.1093,0.2538,0.0809,0.5716,,
DP-LR,0.2,5000,0.5047,0.5052,0.4573,0.4801,0.508,0.008,0.0087,0.114,0.455,0.1474,0.622,,
DP-LR,0.5,5000,0.504,0.505,0.406,0.4501,0.4979,-0.0021,0.012,0.1087,0.6723,0.2964,0.7204,,
DP-LR,0.75,5000,0.501,0.5015,0.3413,0.4062,0.4966,-0.0034,0.0073,0.1067,0.7371,0.3304,0.7507,,
DP-LR,1.0,5000,0.5027,0.5042,0.3213,0.3925,0.5,0.0,0.004,0.092,0.811,0.5072,0.7638,,
DP-LR,1.5,5000,0.4997,0.4996,0.416,0.454,0.4998,-0.0002,0.0093,0.108,0.8668,0.5984,0.7801,,
DP-LR,2.0,5000,0.4993,0.4992,0.406,0.4478,0.5021,0.0021,0.0087,0.1033,0.8971,0.6306,0.7898,,
DP-LR,3.0,5000,0.506,0.508,0.3827,0.4365,0.5078,0.0078,0.0113,0.0967,0.9134,0.6493,0.8044,,
DP-LR,5.0,5000,0.5147,0.5188,0.4047,0.4547,0.5098,0.0098,0.0127,0.1007,0.9343,0.673,0.8177,,
DP-LR,7.0,5000,0.514,0.5174,0.4153,0.4608,0.5116,0.0116,0.0133,0.098,0.9387,0.6922,0.8222,,
DP-LR,10.0,5000,0.518,0.5231,0.4073,0.458,0.5191,0.0191,0.0153,0.094,0.9444,0.6991,0.8261,,
DP-SGD,0.01,5000,0.5177,0.5178,0.5127,0.5152,0.5096,0.0096,0.0133,0.1067,0.0799,0.0958,0.7194,,
DP-SGD,0.05,5000,0.5103,0.5173,0.3087,0.3866,0.5032,0.0032,0.0093,0.0967,0.1372,0.4059,0.83,,
DP-SGD,0.1,5000,0.51,0.5095,0.5373,0.523,0.5106,0.0106,0.0153,0.114,0.2365,0.4803,0.8657,,
DP-SGD,0.2,5000,0.51,0.5115,0.4447,0.4757,0.5121,0.0121,0.022,0.0973,0.2686,0.5,0.9089,,
DP-SGD,0.5,5000,0.5123,0.5133,0.476,0.4939,0.5094,0.0094,0.0087,0.096,0.3347,0.5419,0.9324,,
DP-SGD,0.75,5000,0.504,0.5043,0.4647,0.4837,0.5031,0.0031,0.0053,0.0987,0.3617,0.5748,0.937,,
DP-SGD,1.0,5000,0.504,0.5041,0.4873,0.4956,0.5058,0.0058,0.006,0.0907,0.374,0.5911,0.9398,,
DP-SGD,1.5,5000,0.5123,0.5125,0.5047,0.5086,0.5152,0.0152,0.006,0.1013,0.3863,0.5997,0.9416,,
DP-SGD,2.0,5000,0.5157,0.516,0.5053,0.5106,0.5177,0.0177,0.0073,0.0947,0.3972,0.6026,0.9429,,
DP-SGD,3.0,5000,0.511,0.5109,0.5153,0.5131,0.5192,0.0192,0.0067,0.1047,0.414,0.6077,0.9451,,
DP-SGD,5.0,5000,0.512,0.513,0.4733,0.4924,0.52,0.02,0.0087,0.094,0.4275,0.6125,0.9464,,
DP-SGD,7.0,5000,0.5113,0.5123,0.4727,0.4917,0.5212,0.0212,0.008,0.1047,0.4499,0.6253,0.9476,,
DP-SGD,10.0,5000,0.51,0.5115,0.446,0.4765,0.523,0.023,0.0073,0.0993,0.4592,0.6296,0.9488,,
Logistic Regression,,5000,0.5073,0.5058,0.64,0.565,0.5073,0.0073,0.0,0.0,0.6333,0.6665,,,
Random Forest,,5000,0.5143,0.5135,0.5467,0.5295,0.5183,0.0183,0.0113,0.1307,0.7949,0.7358,0.975,,
XGBoost,,5000,0.5177,0.5111,0.8167,0.6287,0.5311,0.0311,0.022,0.1267,0.9713,0.8415,0.9861,,
