ε,f1_macro,AUC,MCC,Loss vs LR (abs),Loss vs LR (%)
0.01,0.4049,0.8759,0.2136,0.5125,55.86
0.01,0.5865,0.6564,0.1834,0.3308,36.06
0.05,0.9259,0.9601,0.852,-0.0085,-0.93
0.05,0.7342,0.8155,0.4708,0.1831,19.96
0.1,0.7898,0.8593,0.5828,0.1276,13.91
0.1,0.93,0.966,0.8604,-0.0127,-1.38
0.2,0.9352,0.9705,0.8706,-0.0178,-1.94
0.2,0.8654,0.8965,0.7311,0.0519,5.66
0.5,0.9108,0.9259,0.8216,0.0066,0.72
0.5,0.9421,0.9747,0.8842,-0.0247,-2.7
0.75,0.945,0.9759,0.89,-0.0276,-3.01
0.75,0.921,0.9321,0.8421,-0.0037,-0.4
1.0,0.9271,0.9362,0.8541,-0.0097,-1.06
1.0,0.947,0.976,0.8941,-0.0297,-3.24
1.5,0.9483,0.9766,0.8968,-0.031,-3.38
1.5,0.9326,0.9414,0.8651,-0.0152,-1.66
2.0,0.9332,0.9446,0.8665,-0.0159,-1.73
2.0,0.9487,0.9772,0.8976,-0.0314,-3.42
3.0,0.9522,0.9778,0.9047,-0.0349,-3.8
3.0,0.932,0.9474,0.8639,-0.0146,-1.59
5.0,0.9249,0.9422,0.85,-0.0075,-0.82
5.0,0.9546,0.9787,0.9097,-0.0373,-4.06
7.0,0.955,0.9789,0.9105,-0.0377,-4.11
7.0,0.9305,0.9475,0.8609,-0.0131,-1.43
10.0,0.931,0.9518,0.8619,-0.0136,-1.48
10.0,0.9564,0.9793,0.9134,-0.0391,-4.26
