ε,f1_macro,AUC,MCC,Loss vs LR (abs),Loss vs LR (%)
0.01,0.0525,0.4877,-0.0336,0.6139,92.12
0.01,0.0039,0.6336,-0.0141,0.6626,99.41
0.05,0.0806,0.5355,-0.0089,0.5859,87.91
0.05,0.3606,0.8351,0.1824,0.3059,45.9
0.1,0.0809,0.5716,0.0074,0.5856,87.86
0.1,0.5191,0.8607,0.3753,0.1473,22.11
0.2,0.1474,0.622,0.1356,0.519,77.88
0.2,0.5745,0.8966,0.4331,0.092,13.81
0.5,0.2964,0.7204,0.3841,0.3701,55.53
0.5,0.5932,0.9287,0.4699,0.0733,10.99
0.75,0.3304,0.7507,0.4576,0.3361,50.42
0.75,0.5992,0.936,0.4778,0.0672,10.09
1.0,0.5072,0.7638,0.5894,0.1593,23.9
1.0,0.6046,0.9395,0.4816,0.0619,9.28
1.5,0.5984,0.7801,0.7046,0.0681,10.22
1.5,0.603,0.9433,0.4819,0.0635,9.52
2.0,0.6306,0.7898,0.7702,0.0359,5.38
2.0,0.6047,0.9449,0.4826,0.0618,9.28
3.0,0.6492,0.8044,0.8026,0.0173,2.59
3.0,0.6045,0.9465,0.4831,0.062,9.3
5.0,0.6778,0.8177,0.8499,-0.0113,-1.69
5.0,0.6037,0.9486,0.4845,0.0627,9.41
7.0,0.6922,0.8222,0.8598,-0.0257,-3.86
7.0,0.6083,0.9497,0.4896,0.0582,8.74
10.0,0.6991,0.826,0.8721,-0.0326,-4.89
10.0,0.6082,0.9508,0.4926,0.0583,8.74
