Model,Dataset,Label,ε,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,mcc,false_positive_rate,detection_rate,Train Time (s)
DP-LR,unsw_nb15,binary,0.01,0.5532,0.4174,0.672,0.5261,0.6442,0.6774,0.1226,0.4564,0.7447,0.3
DP-SGD,unsw_nb15,binary,0.01,0.3273,0.2888,0.4386,0.5328,0.647,0.9828,0.1389,0.7061,1.0,0.0
DP-LR,unsw_nb15,binary,0.05,0.823,0.5964,0.8702,0.584,0.8024,0.8254,0.3188,0.1749,0.7796,0.5
DP-SGD,unsw_nb15,binary,0.05,0.9824,0.9169,0.9837,0.8645,0.9906,0.9893,0.8457,0.0184,0.9996,0.0
DP-LR,unsw_nb15,binary,0.1,0.8961,0.6779,0.9179,0.6347,0.8376,0.8554,0.4264,0.0978,0.7729,0.4
DP-SGD,unsw_nb15,binary,0.1,0.9828,0.9183,0.984,0.8665,0.9906,0.9917,0.8481,0.0181,0.9993,218.2
DP-LR,unsw_nb15,binary,0.2,0.9387,0.7556,0.9471,0.7039,0.8604,0.9037,0.5422,0.0531,0.774,0.7
DP-SGD,unsw_nb15,binary,0.2,0.9829,0.9187,0.9841,0.8671,0.9907,0.9935,0.8488,0.0179,0.9993,0.0
DP-LR,unsw_nb15,binary,0.5,0.966,0.8352,0.9682,0.7985,0.8845,0.9471,0.6776,0.0255,0.7944,1.0
DP-SGD,unsw_nb15,binary,0.5,0.9832,0.9201,0.9844,0.869,0.9908,0.9963,0.8512,0.0176,0.9993,200.2
DP-LR,unsw_nb15,binary,0.75,0.9718,0.857,0.973,0.8296,0.8902,0.9602,0.7172,0.0196,0.8001,1.4
DP-SGD,unsw_nb15,binary,0.75,0.9843,0.9245,0.9853,0.8752,0.9914,0.9966,0.8588,0.0165,0.9993,0.0
DP-LR,unsw_nb15,binary,1.0,0.9754,0.872,0.9762,0.8505,0.8968,0.969,0.7458,0.0164,0.8099,1.7
DP-SGD,unsw_nb15,binary,1.0,0.9847,0.9261,0.9857,0.8776,0.9916,0.9968,0.8618,0.0161,0.9993,200.8
DP-LR,unsw_nb15,binary,1.5,0.9775,0.8814,0.9781,0.8632,0.9017,0.9775,0.764,0.0146,0.8181,2.2
DP-SGD,unsw_nb15,binary,1.5,0.9854,0.9291,0.9863,0.8821,0.9918,0.997,0.867,0.0153,0.9989,0.0
DP-LR,unsw_nb15,binary,2.0,0.9788,0.888,0.9793,0.8706,0.9073,0.9817,0.777,0.0137,0.8283,2.5
DP-SGD,unsw_nb15,binary,2.0,0.9855,0.9295,0.9864,0.8826,0.9919,0.9971,0.8676,0.0152,0.9989,202.3
DP-LR,unsw_nb15,binary,3.0,0.9804,0.8964,0.9809,0.8791,0.9155,0.9852,0.7938,0.0128,0.8438,3.5
DP-SGD,unsw_nb15,binary,3.0,0.9855,0.9297,0.9864,0.8829,0.9921,0.9972,0.8681,0.0152,0.9993,0.0
DP-LR,unsw_nb15,binary,5.0,0.9778,0.8824,0.9783,0.8658,0.9009,0.9693,0.7658,0.0142,0.8159,2.7
DP-SGD,unsw_nb15,binary,5.0,0.9856,0.9302,0.9865,0.8836,0.9921,0.9973,0.8689,0.015,0.9993,218.1
DP-LR,unsw_nb15,binary,7.0,0.9817,0.9019,0.982,0.888,0.917,0.9885,0.8044,0.0116,0.8456,3.0
DP-SGD,unsw_nb15,binary,7.0,0.9857,0.9305,0.9866,0.884,0.9922,0.9974,0.8695,0.015,0.9993,0.0
DP-LR,unsw_nb15,binary,10.0,0.9834,0.9126,0.9838,0.8928,0.9348,0.9945,0.8266,0.0115,0.8812,3.2
DP-SGD,unsw_nb15,binary,10.0,0.9858,0.9309,0.9867,0.8846,0.9922,0.9975,0.8702,0.0149,0.9993,221.0
Logistic Regression,unsw_nb15,binary,,0.9834,0.9208,0.9845,0.8702,0.9906,0.9929,0.8523,0.0174,0.9986,112.8
Random Forest,unsw_nb15,binary,,0.9864,0.9333,0.9872,0.8885,0.9918,0.9987,0.8742,0.0142,0.9979,3.8
XGBoost,unsw_nb15,binary,,0.9928,0.9596,0.9927,0.9623,0.957,0.9992,0.9192,0.0035,0.9175,1.1
