Model,Dataset,Label,ε,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,mcc,false_positive_rate,detection_rate,Train Time (s)
DP-LR,unsw_nb15,multiclass,0.01,0.1763,0.0512,0.2879,0.1284,0.1186,0.5022,0.0164,,,1.1
DP-SGD,unsw_nb15,multiclass,0.01,0.0152,0.0708,0.0072,0.1775,0.2198,0.6746,0.0364,,,201.4
DP-LR,unsw_nb15,multiclass,0.05,0.3253,0.0785,0.476,0.1319,0.1466,0.5054,0.0502,,,1.4
DP-SGD,unsw_nb15,multiclass,0.05,0.0285,0.1257,0.0101,0.0802,0.4917,0.7573,0.0922,,,203.9
DP-LR,unsw_nb15,multiclass,0.1,0.5423,0.1118,0.6832,0.1366,0.1775,0.4873,0.0938,,,1.6
DP-SGD,unsw_nb15,multiclass,0.1,0.031,0.1147,0.0116,0.1952,0.5404,0.7783,0.096,,,203.7
DP-LR,unsw_nb15,multiclass,0.2,0.7377,0.1569,0.824,0.1562,0.2285,0.4835,0.1588,,,1.9
DP-SGD,unsw_nb15,multiclass,0.2,0.1598,0.1431,0.2378,0.193,0.5751,0.8018,0.1209,,,201.3
DP-LR,unsw_nb15,multiclass,0.5,0.8744,0.2008,0.9058,0.1883,0.2588,0.4991,0.2586,,,2.4
DP-SGD,unsw_nb15,multiclass,0.5,0.7682,0.289,0.846,0.2456,0.6659,0.842,0.3165,,,197.3
DP-LR,unsw_nb15,multiclass,0.75,0.9057,0.2341,0.9245,0.2206,0.2857,0.5311,0.3224,,,2.7
DP-SGD,unsw_nb15,multiclass,0.75,0.8739,0.3618,0.9142,0.3127,0.6776,0.8582,0.4291,,,196.8
DP-LR,unsw_nb15,multiclass,1.0,0.9213,0.2614,0.934,0.2483,0.3081,0.5492,0.3703,,,2.9
DP-SGD,unsw_nb15,multiclass,1.0,0.8992,0.3842,0.9293,0.328,0.6838,0.8681,0.4744,,,203.1
DP-LR,unsw_nb15,multiclass,1.5,0.936,0.2875,0.943,0.275,0.3237,0.5652,0.4243,,,3.4
DP-SGD,unsw_nb15,multiclass,1.5,0.9207,0.4119,0.9418,0.3501,0.6908,0.8763,0.5238,,,184.0
DP-LR,unsw_nb15,multiclass,2.0,0.9433,0.2968,0.9477,0.2863,0.3246,0.5778,0.4579,,,3.5
DP-SGD,unsw_nb15,multiclass,2.0,0.927,0.4223,0.9458,0.3606,0.695,0.8828,0.5418,,,146.4
DP-LR,unsw_nb15,multiclass,3.0,0.9513,0.3149,0.953,0.3064,0.3368,0.6066,0.5021,,,3.9
DP-SGD,unsw_nb15,multiclass,3.0,0.9353,0.4396,0.9513,0.3819,0.6971,0.8902,0.5673,,,144.1
DP-LR,unsw_nb15,multiclass,5.0,0.9564,0.3301,0.9568,0.3255,0.3447,0.6537,0.5354,,,4.8
DP-SGD,unsw_nb15,multiclass,5.0,0.9435,0.4571,0.9564,0.4001,0.7006,0.8958,0.5964,,,144.8
DP-LR,unsw_nb15,multiclass,7.0,0.9585,0.3391,0.9586,0.3365,0.3492,0.6904,0.552,,,5.7
DP-SGD,unsw_nb15,multiclass,7.0,0.9446,0.4612,0.9574,0.4078,0.6994,0.9028,0.6008,,,145.6
DP-LR,unsw_nb15,multiclass,10.0,0.9609,0.3498,0.9608,0.3472,0.3562,0.7323,0.5746,,,6.2
DP-SGD,unsw_nb15,multiclass,10.0,0.9461,0.4653,0.9582,0.4103,0.7016,0.9058,0.6066,,,148.8
Logistic Regression,unsw_nb15,multiclass,,0.9663,0.5129,0.9719,0.4808,0.6715,0.9857,0.6979,,,320.3
Random Forest,unsw_nb15,multiclass,,0.9757,0.6382,0.9795,0.6087,0.7636,0.9961,0.7758,,,4.9
XGBoost,unsw_nb15,multiclass,,0.9834,0.6331,0.9828,0.6519,0.6207,0.9778,0.8162,,,5.3
