Model,ε,F1 macro,ROC-AUC (IDS),FPR,Detection Rate,Attack ROC-AUC,Attack Advantage
DP-LR,0.01,0.4174,0.6774,0.4564,0.7447,0.5001,0.0001
DP-LR,0.05,0.5964,0.8254,0.1749,0.7796,0.4998,-0.0002
DP-LR,0.1,0.6779,0.8554,0.0978,0.7729,0.4993,-0.0007
DP-LR,0.2,0.7556,0.9037,0.0531,0.774,0.5038,0.0038
DP-LR,0.5,0.8352,0.9471,0.0255,0.7944,0.4926,-0.0074
DP-LR,0.75,0.857,0.9602,0.0196,0.8001,0.4967,-0.0033
DP-LR,1.0,0.872,0.969,0.0164,0.8099,0.4941,-0.0059
DP-LR,1.5,0.8814,0.9775,0.0146,0.8181,0.49,-0.01
DP-LR,2.0,0.888,0.9817,0.0137,0.8283,0.4901,-0.0099
DP-LR,3.0,0.8964,0.9852,0.0128,0.8438,0.49,-0.01
DP-LR,5.0,0.8824,0.9693,0.0142,0.8159,0.5079,0.0079
DP-LR,7.0,0.9019,0.9885,0.0116,0.8456,0.4911,-0.0089
DP-LR,10.0,0.9126,0.9945,0.0115,0.8812,0.5006,0.0006
DP-SGD,0.01,0.3897,0.9781,0.5447,0.9975,0.4849,-0.0151
DP-SGD,0.05,0.9167,0.9889,0.0183,0.9961,0.4798,-0.0202
DP-SGD,0.1,0.918,0.991,0.018,0.9975,0.4996,-0.0004
DP-SGD,0.2,0.9193,0.9929,0.0177,0.9982,0.5119,0.0119
DP-SGD,0.5,0.9204,0.9963,0.0175,0.9986,0.5086,0.0086
DP-SGD,0.75,0.9258,0.9966,0.0161,0.9986,0.4846,-0.0154
DP-SGD,1.0,0.9295,0.9968,0.0152,0.9989,0.5054,0.0054
DP-SGD,1.5,0.9314,0.9969,0.0147,0.9989,0.488,-0.012
DP-SGD,2.0,0.932,0.997,0.0146,0.9993,0.4882,-0.0118
DP-SGD,3.0,0.9322,0.997,0.0146,0.9993,0.4882,-0.0118
DP-SGD,5.0,0.9321,0.9971,0.0146,0.9989,0.4897,-0.0103
DP-SGD,7.0,0.9321,0.9971,0.0146,0.9989,0.4905,-0.0095
DP-SGD,10.0,0.9321,0.9972,0.0146,0.9989,0.4906,-0.0094
Logistic Regression,,0.9208,,0.0174,0.9986,0.4967,-0.0033
Random Forest,,0.9333,0.9987,0.0142,0.9979,0.4864,-0.0136
XGBoost,,0.9596,0.9992,0.0035,0.9175,0.5141,0.0141
