Model,ε,F1 macro,ROC-AUC (IDS),FPR,Detection Rate,Attack ROC-AUC,Attack Advantage
DP-LR,0.01,0.0512,0.5022,,,0.4996,-0.0004
DP-LR,0.05,0.0785,0.5054,,,0.4997,-0.0003
DP-LR,0.1,0.1118,0.4873,,,0.496,-0.004
DP-LR,0.2,0.1569,0.4835,,,0.4857,-0.0143
DP-LR,0.5,0.2008,0.4991,,,0.5061,0.0061
DP-LR,0.75,0.2341,0.5311,,,0.4989,-0.0011
DP-LR,1.0,0.2614,0.5492,,,0.4982,-0.0018
DP-LR,1.5,0.2875,0.5652,,,0.4955,-0.0045
DP-LR,2.0,0.2968,0.5778,,,0.4926,-0.0074
DP-LR,3.0,0.3149,0.6066,,,0.4948,-0.0052
DP-LR,5.0,0.3301,0.6537,,,0.4969,-0.0031
DP-LR,7.0,0.3391,0.6904,,,0.495,-0.005
DP-LR,10.0,0.3498,0.7323,,,0.5123,0.0123
DP-SGD,0.01,0.0424,0.6591,,,0.4986,-0.0014
DP-SGD,0.05,0.0808,0.7572,,,0.4954,-0.0046
DP-SGD,0.1,0.0877,0.7857,,,0.4961,-0.0039
DP-SGD,0.2,0.1685,0.8117,,,0.4929,-0.0071
DP-SGD,0.5,0.3273,0.8563,,,0.4882,-0.0118
DP-SGD,0.75,0.3667,0.8789,,,0.4944,-0.0056
DP-SGD,1.0,0.3838,0.8908,,,0.4928,-0.0072
DP-SGD,1.5,0.4129,0.905,,,0.4838,-0.0162
DP-SGD,2.0,0.4365,0.9122,,,0.4798,-0.0202
DP-SGD,3.0,0.4534,0.9169,,,0.4836,-0.0164
DP-SGD,5.0,0.4659,0.9243,,,0.4796,-0.0204
DP-SGD,7.0,0.4626,0.9259,,,0.4865,-0.0135
DP-SGD,10.0,0.4719,0.9325,,,0.4852,-0.0148
Logistic Regression,,0.5129,,,,0.4923,-0.0077
Random Forest,,0.6382,0.9961,,,0.4946,-0.0054
XGBoost,,0.6331,0.9778,,,0.5302,0.0302
