Model,ε,n_members,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_roc_auc,attack_advantage,tpr_at_fpr_0_01,tpr_at_fpr_0_10,target_accuracy,target_f1_macro,target_roc_auc,target_false_positive_rate,target_detection_rate
DP-LR,0.01,5000,0.4957,0.4976,0.882,0.6362,0.5001,0.0001,0.0,0.0387,0.5532,0.4174,0.6774,0.4564,0.7447
DP-LR,0.05,5000,0.4993,0.4985,0.2253,0.3104,0.4998,-0.0002,0.0067,0.0907,0.823,0.5964,0.8254,0.1749,0.7796
DP-LR,0.1,5000,0.496,0.4882,0.166,0.2478,0.4993,-0.0007,0.0087,0.0707,0.8961,0.6779,0.8554,0.0978,0.7729
DP-LR,0.2,5000,0.495,0.4829,0.1413,0.2187,0.5038,0.0038,0.0073,0.0967,0.9387,0.7556,0.9037,0.0531,0.774
DP-LR,0.5,5000,0.4977,0.4837,0.0693,0.1213,0.4926,-0.0074,0.0093,0.0913,0.966,0.8352,0.9471,0.0255,0.7944
DP-LR,0.75,5000,0.4953,0.4757,0.0913,0.1532,0.4967,-0.0033,0.0113,0.0887,0.9718,0.857,0.9602,0.0196,0.8001
DP-LR,1.0,5000,0.4937,0.472,0.1067,0.174,0.4941,-0.0059,0.008,0.09,0.9754,0.872,0.969,0.0164,0.8099
DP-LR,1.5,5000,0.4957,0.4735,0.0773,0.133,0.49,-0.01,0.008,0.0853,0.9775,0.8814,0.9775,0.0146,0.8181
DP-LR,2.0,5000,0.491,0.4702,0.142,0.2181,0.4901,-0.0099,0.0093,0.0933,0.9788,0.888,0.9817,0.0137,0.8283
DP-LR,3.0,5000,0.4833,0.4566,0.1753,0.2534,0.49,-0.01,0.0047,0.0907,0.9804,0.8964,0.9852,0.0128,0.8438
DP-LR,5.0,5000,0.4977,0.4798,0.0553,0.0992,0.5079,0.0079,0.0107,0.076,0.9778,0.8824,0.9693,0.0142,0.8159
DP-LR,7.0,5000,0.491,0.4845,0.282,0.3565,0.4911,-0.0089,0.0047,0.0833,0.9817,0.9019,0.9885,0.0116,0.8456
DP-LR,10.0,5000,0.489,0.4815,0.2867,0.3594,0.5006,0.0006,0.0053,0.094,0.9834,0.9126,0.9945,0.0115,0.8812
DP-SGD,0.01,5000,0.4807,0.4849,0.6193,0.5439,0.4849,-0.0151,0.0073,0.096,0.4809,0.3897,0.9781,0.5447,0.9975
DP-SGD,0.05,5000,0.4933,0.4798,0.1587,0.2385,0.4798,-0.0202,0.0033,0.0973,0.9824,0.9167,0.9889,0.0183,0.9961
DP-SGD,0.1,5000,0.4963,0.477,0.076,0.1311,0.4996,-0.0004,0.004,0.09,0.9827,0.918,0.991,0.018,0.9975
DP-SGD,0.2,5000,0.4953,0.4676,0.0673,0.1177,0.5119,0.0119,0.014,0.094,0.983,0.9193,0.9929,0.0177,0.9982
DP-SGD,0.5,5000,0.4957,0.468,0.0633,0.1116,0.5086,0.0086,0.0133,0.0933,0.9833,0.9204,0.9963,0.0175,0.9986
DP-SGD,0.75,5000,0.496,0.4717,0.0667,0.1168,0.4846,-0.0154,0.0127,0.086,0.9846,0.9258,0.9966,0.0161,0.9986
DP-SGD,1.0,5000,0.495,0.4619,0.0607,0.1072,0.5054,0.0054,0.016,0.0927,0.9855,0.9295,0.9968,0.0152,0.9989
DP-SGD,1.5,5000,0.4927,0.4732,0.1293,0.2031,0.488,-0.012,0.0127,0.0947,0.9859,0.9314,0.9969,0.0147,0.9989
DP-SGD,2.0,5000,0.4923,0.4747,0.144,0.221,0.4882,-0.0118,0.0087,0.094,0.9861,0.932,0.997,0.0146,0.9993
DP-SGD,3.0,5000,0.4917,0.4696,0.1287,0.202,0.4882,-0.0118,0.0073,0.09,0.9861,0.9322,0.997,0.0146,0.9993
DP-SGD,5.0,5000,0.4953,0.4823,0.1273,0.2015,0.4897,-0.0103,0.0127,0.094,0.9861,0.9321,0.9971,0.0146,0.9989
DP-SGD,7.0,5000,0.4927,0.4689,0.1107,0.1791,0.4905,-0.0095,0.0113,0.0953,0.9861,0.9321,0.9971,0.0146,0.9989
DP-SGD,10.0,5000,0.4953,0.4784,0.1033,0.17,0.4906,-0.0094,0.0093,0.0973,0.9861,0.9321,0.9972,0.0146,0.9989
Logistic Regression,,5000,0.4967,0.381,0.0107,0.0208,0.4967,-0.0033,0.0,0.0107,0.9834,0.9208,,0.0174,0.9986
Random Forest,,5000,0.4983,0.4872,0.0633,0.1121,0.4864,-0.0136,0.0067,0.076,0.9864,0.9333,0.9987,0.0142,0.9979
XGBoost,,5000,0.503,0.5251,0.0627,0.112,0.5141,0.0141,0.0153,0.114,0.9928,0.9596,0.9992,0.0035,0.9175
