Model,ε,n_members,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_roc_auc,attack_advantage,tpr_at_fpr_0_01,tpr_at_fpr_0_10,target_accuracy,target_f1_macro,target_roc_auc,target_false_positive_rate,target_detection_rate
DP-LR,0.01,5000,0.5023,0.5026,0.458,0.4792,0.4996,-0.0004,0.0087,0.0913,0.1763,0.0512,0.5022,,
DP-LR,0.05,5000,0.505,0.5057,0.4473,0.4747,0.4997,-0.0003,0.016,0.11,0.3253,0.0785,0.5054,,
DP-LR,0.1,5000,0.5017,0.5017,0.5033,0.5025,0.496,-0.004,0.0127,0.092,0.5423,0.1118,0.4873,,
DP-LR,0.2,5000,0.48,0.4768,0.4113,0.4417,0.4857,-0.0143,0.0073,0.0893,0.7377,0.1569,0.4835,,
DP-LR,0.5,5000,0.503,0.5043,0.3487,0.4123,0.5061,0.0061,0.014,0.096,0.8744,0.2008,0.4991,,
DP-LR,0.75,5000,0.502,0.503,0.33,0.3986,0.4989,-0.0011,0.016,0.092,0.9057,0.2341,0.5311,,
DP-LR,1.0,5000,0.4937,0.4915,0.3653,0.4191,0.4982,-0.0018,0.012,0.1013,0.9213,0.2614,0.5492,,
DP-LR,1.5,5000,0.4963,0.4953,0.384,0.4326,0.4955,-0.0045,0.014,0.11,0.936,0.2875,0.5652,,
DP-LR,2.0,5000,0.4923,0.4899,0.372,0.4229,0.4926,-0.0074,0.0087,0.0987,0.9433,0.2968,0.5778,,
DP-LR,3.0,5000,0.4953,0.4934,0.3487,0.4086,0.4948,-0.0052,0.0067,0.094,0.9513,0.3149,0.6066,,
DP-LR,5.0,5000,0.498,0.4969,0.3193,0.3888,0.4969,-0.0031,0.0087,0.0867,0.9564,0.3301,0.6537,,
DP-LR,7.0,5000,0.4983,0.4966,0.2433,0.3266,0.495,-0.005,0.0153,0.0907,0.9585,0.3391,0.6904,,
DP-LR,10.0,5000,0.509,0.5066,0.6893,0.584,0.5123,0.0123,0.0147,0.106,0.9609,0.3498,0.7323,,
DP-SGD,0.01,5000,0.4957,0.4956,0.4873,0.4914,0.4986,-0.0014,0.0087,0.09,0.0777,0.0424,0.6591,,
DP-SGD,0.05,5000,0.4987,0.4981,0.3527,0.413,0.4954,-0.0046,0.0127,0.104,0.0306,0.0808,0.7572,,
DP-SGD,0.1,5000,0.494,0.4929,0.4187,0.4528,0.4961,-0.0039,0.0113,0.0993,0.0697,0.0877,0.7857,,
DP-SGD,0.2,5000,0.4977,0.4974,0.452,0.4736,0.4929,-0.0071,0.0073,0.1067,0.3913,0.1685,0.8117,,
DP-SGD,0.5,5000,0.4973,0.4967,0.4053,0.4464,0.4882,-0.0118,0.01,0.094,0.8366,0.3273,0.8563,,
DP-SGD,0.75,5000,0.499,0.499,0.4833,0.491,0.4944,-0.0056,0.008,0.1013,0.8836,0.3667,0.8789,,
DP-SGD,1.0,5000,0.4937,0.4936,0.4867,0.4901,0.4928,-0.0072,0.01,0.1127,0.8999,0.3838,0.8908,,
DP-SGD,1.5,5000,0.486,0.4854,0.464,0.4744,0.4838,-0.0162,0.008,0.1007,0.9202,0.4129,0.905,,
DP-SGD,2.0,5000,0.4903,0.4893,0.444,0.4656,0.4798,-0.0202,0.0107,0.0993,0.932,0.4365,0.9122,,
DP-SGD,3.0,5000,0.487,0.4855,0.436,0.4594,0.4836,-0.0164,0.0107,0.1073,0.9388,0.4534,0.9169,,
DP-SGD,5.0,5000,0.4803,0.477,0.4073,0.4394,0.4796,-0.0204,0.0133,0.1073,0.9428,0.4659,0.9243,,
DP-SGD,7.0,5000,0.4937,0.4919,0.3833,0.4309,0.4865,-0.0135,0.0153,0.12,0.9426,0.4626,0.9259,,
DP-SGD,10.0,5000,0.496,0.4948,0.3807,0.4303,0.4852,-0.0148,0.0107,0.1013,0.9444,0.4719,0.9325,,
Logistic Regression,,5000,0.4923,0.3883,0.0267,0.0499,0.4923,-0.0077,0.0,0.0267,0.9663,0.5129,,,
Random Forest,,5000,0.4947,0.4494,0.0473,0.0856,0.4946,-0.0054,0.0093,0.0547,0.9757,0.6382,0.9961,,
XGBoost,,5000,0.51,0.619,0.052,0.0959,0.5302,0.0302,0.0127,0.128,0.9834,0.6331,0.9778,,
