ε,f1_macro,AUC,MCC,Loss vs LR (abs),Loss vs LR (%)
0.01,0.2888,0.9828,0.1389,0.632,68.64
0.01,0.4174,0.6774,0.1226,0.5034,54.67
0.05,0.9169,0.9893,0.8457,0.0039,0.42
0.05,0.5964,0.8254,0.3188,0.3244,35.23
0.1,0.6779,0.8554,0.4264,0.2428,26.37
0.1,0.9183,0.9917,0.8481,0.0025,0.27
0.2,0.9187,0.9935,0.8488,0.0021,0.22
0.2,0.7556,0.9037,0.5422,0.1651,17.93
0.5,0.8352,0.9471,0.6776,0.0855,9.29
0.5,0.9201,0.9963,0.8512,0.0007,0.08
0.75,0.9245,0.9966,0.8588,-0.0037,-0.4
0.75,0.857,0.9602,0.7172,0.0638,6.93
1.0,0.872,0.969,0.7458,0.0488,5.3
1.0,0.9261,0.9968,0.8618,-0.0054,-0.58
1.5,0.9291,0.997,0.867,-0.0084,-0.91
1.5,0.8814,0.9775,0.764,0.0394,4.28
2.0,0.888,0.9817,0.777,0.0328,3.56
2.0,0.9295,0.9971,0.8676,-0.0087,-0.95
3.0,0.9297,0.9972,0.8681,-0.0089,-0.97
3.0,0.8964,0.9852,0.7938,0.0244,2.65
5.0,0.8824,0.9693,0.7658,0.0383,4.16
5.0,0.9302,0.9973,0.8689,-0.0094,-1.02
7.0,0.9305,0.9974,0.8695,-0.0097,-1.06
7.0,0.9019,0.9885,0.8044,0.0189,2.05
10.0,0.9126,0.9945,0.8266,0.0081,0.88
10.0,0.9309,0.9975,0.8702,-0.0101,-1.1
