ε,f1_macro,AUC,MCC,Loss vs LR (abs),Loss vs LR (%)
0.01,0.0512,0.5022,0.0164,0.4618,90.02
0.01,0.0708,0.6746,0.0364,0.4422,86.21
0.05,0.0785,0.5054,0.0502,0.4345,84.7
0.05,0.1257,0.7573,0.0922,0.3872,75.49
0.1,0.1118,0.4873,0.0938,0.4012,78.21
0.1,0.1147,0.7783,0.096,0.3982,77.64
0.2,0.1569,0.4835,0.1588,0.356,69.41
0.2,0.1431,0.8018,0.1209,0.3698,72.1
0.5,0.2008,0.4991,0.2586,0.3122,60.86
0.5,0.289,0.842,0.3165,0.224,43.66
0.75,0.2341,0.5311,0.3224,0.2788,54.36
0.75,0.3618,0.8582,0.4291,0.1511,29.46
1.0,0.2614,0.5492,0.3703,0.2515,49.04
1.0,0.3842,0.8681,0.4744,0.1287,25.1
1.5,0.2875,0.5652,0.4243,0.2254,43.95
1.5,0.4119,0.8763,0.5238,0.101,19.7
2.0,0.2968,0.5778,0.4579,0.2162,42.14
2.0,0.4223,0.8828,0.5418,0.0906,17.66
3.0,0.3149,0.6066,0.5021,0.198,38.61
3.0,0.4396,0.8902,0.5673,0.0733,14.3
5.0,0.3301,0.6537,0.5354,0.1828,35.64
5.0,0.4571,0.8958,0.5964,0.0558,10.88
7.0,0.3391,0.6904,0.552,0.1738,33.89
7.0,0.4612,0.9028,0.6008,0.0517,10.08
10.0,0.3498,0.7323,0.5746,0.1631,31.8
10.0,0.4653,0.9058,0.6066,0.0477,9.3
